,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
67,3DS,2015.0,Role-Playing,Nintendo,0.71,0.22,0.52,0.1,1.54
68,DS,2009.0,Fighting,THQ,0.37,0.02,0.0,0.03,0.42
69,PS2,2006.0,Sports,Sony Computer Entertainment,0.01,0.01,0.0,0.0,0.02
70,PS4,2016.0,Action,Deep Silver,0.02,0.07,0.01,0.02,0.12
71,DS,2014.0,Action,Namco Bandai Games,0.02,0.0,0.0,0.0,0.02
72,GC,2001.0,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6
73,PS,1997.0,Sports,Electronic Arts,0.61,0.42,0.0,0.07,1.1
74,PSV,2016.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
75,PS2,2007.0,Sports,Sega,0.0,0.0,0.19,0.0,0.19
76,PSP,2009.0,Racing,THQ,0.18,0.03,0.0,0.03,0.24
77,PS,1995.0,Strategy,Microprose,0.05,0.04,0.0,0.01,0.09
78,DS,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15
79,DS,2006.0,Role-Playing,Sega,0.0,0.0,0.05,0.0,0.05
80,PS3,2012.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
81,PSP,2006.0,Platform,Activision,0.05,0.0,0.0,0.0,0.05
82,PS2,2009.0,Misc,Tecmo Koei,0.0,0.0,0.01,0.0,0.01
83,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
84,GBA,2001.0,Action,Majesco Entertainment,0.5,0.19,0.0,0.01,0.7
85,PC,2012.0,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.13,0.97
86,Wii,2010.0,Action,LucasArts,0.54,0.19,0.0,0.06,0.8
87,PSP,2004.0,Misc,Sony Computer Entertainment,0.0,0.0,0.13,0.0,0.14
88,GC,2002.0,Misc,Infogrames,0.1,0.03,0.0,0.0,0.13
89,PS3,2011.0,Sports,Ubisoft,0.12,0.0,0.0,0.01,0.13
90,DS,2009.0,Action,Activision,0.15,0.03,0.0,0.02,0.2
91,XB,2005.0,Action,Activision,0.82,0.38,0.0,0.04,1.24
92,PS3,2010.0,Misc,MTV Games,0.43,0.09,0.0,0.06,0.58
93,PS,1998.0,Action,Eidos Interactive,0.19,0.13,0.0,0.02,0.33
94,PS3,2007.0,Action,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.74
95,XB,2005.0,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.94
96,XOne,2013.0,Sports,Take-Two Interactive,0.7,0.11,0.0,0.06,0.87
97,GBA,2004.0,Racing,Zoo Digital Publishing,0.04,0.02,0.0,0.0,0.06
98,DS,2004.0,Action,Activision,0.41,0.02,0.03,0.04,0.5
99,Wii,2010.0,Shooter,Neko Entertainment,0.08,0.06,0.0,0.02,0.16
100,GEN,1993.0,Strategy,Sega,0.0,0.0,0.19,0.0,0.19
101,DS,2011.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
102,X360,2009.0,Action,Activision,0.62,0.33,0.0,0.09,1.04
103,GBA,2003.0,Simulation,Jorudan,0.0,0.0,0.28,0.01,0.29
104,PS2,2002.0,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06
105,PSP,2011.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
106,PS3,2008.0,Racing,Electronic Arts,1.01,0.64,0.02,0.3,1.97
107,X360,2015.0,Action,Tru Blu Entertainment,0.0,0.03,0.0,0.0,0.03
108,PC,2009.0,Strategy,Atari,0.0,0.02,0.0,0.01,0.03
109,3DS,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
110,SAT,1995.0,Simulation,Sega,0.0,0.0,0.19,0.0,0.19
111,PS2,2009.0,Action,Atari,0.15,0.04,0.0,0.24,0.43
112,GC,2002.0,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47
113,PSP,2010.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01
114,SNES,1996.0,Puzzle,Compile,0.0,0.0,0.02,0.0,0.02
115,PS2,2006.0,Misc,D3Publisher,0.0,0.0,0.19,0.0,0.19
116,PS2,2005.0,Action,Capcom,0.13,0.1,0.0,0.03,0.27
117,GBA,2007.0,Adventure,Activision,0.16,0.06,0.0,0.0,0.23
118,PS2,2008.0,Adventure,Banpresto,0.0,0.0,0.13,0.0,0.13
119,X360,2011.0,Action,D3Publisher,0.12,0.0,0.0,0.01,0.13
120,PC,2012.0,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0.0,0.03,0.22
121,PS2,2001.0,Sports,THQ,0.11,0.08,0.0,0.03,0.21
122,PSV,2015.0,Action,Kaga Create,0.0,0.0,0.03,0.0,0.03
123,Wii,2015.0,Action,Namco Bandai Games,0.0,0.06,0.0,0.0,0.06
124,PS2,2006.0,Adventure,Capcom,0.0,0.0,0.02,0.0,0.02
125,Wii,2009.0,Misc,MTV Games,0.42,0.0,0.0,0.03,0.45
127,PS2,2005.0,Action,Electronic Arts,0.27,0.21,0.0,0.07,0.56
128,PS,1999.0,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.6
129,SNES,1994.0,Fighting,Angel Studios,0.0,0.0,0.12,0.0,0.12
130,PS2,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
131,3DS,2013.0,Misc,Namco Bandai Games,0.0,0.0,0.29,0.0,0.29
132,PSP,2006.0,Platform,Capcom,0.12,0.01,0.0,0.02,0.14
133,GBA,2004.0,Misc,THQ,0.13,0.05,0.0,0.0,0.18
134,X360,2012.0,Simulation,Mad Catz,0.07,0.0,0.0,0.01,0.07
135,X360,2007.0,Sports,Activision Value,0.06,0.0,0.0,0.0,0.06
136,PSP,2005.0,Puzzle,Sony Computer Entertainment,0.11,0.0,0.0,0.01,0.12
137,Wii,2009.0,Racing,Activision,0.17,0.0,0.0,0.01,0.19
138,PS,2001.0,Sports,Electronic Arts,0.29,0.19,0.0,0.03,0.52
139,Wii,2007.0,Shooter,505 Games,0.06,0.0,0.0,0.0,0.07
140,Wii,2009.0,Sports,Ubisoft,0.1,0.02,0.0,0.01,0.13
141,DS,2007.0,Misc,Rocket Company,0.0,0.0,0.33,0.0,0.33
142,XB,2002.0,Action,Activision,0.07,0.02,0.0,0.0,0.1
143,DS,2009.0,Simulation,Electronic Arts,0.12,0.0,0.0,0.01,0.14
144,Wii,2009.0,Sports,Activision Value,0.29,0.0,0.0,0.02,0.31
145,PS2,2008.0,Misc,Disney Interactive Studios,0.08,0.06,0.0,0.02,0.17
146,PSP,2006.0,Sports,Midway Games,0.09,0.0,0.0,0.01,0.09
147,GEN,1994.0,Platform,Virgin Interactive,0.97,0.37,0.03,0.05,1.41
148,DS,2005.0,Misc,Sega,0.7,0.01,0.0,0.06,0.76
149,X360,2008.0,Racing,Electronic Arts,0.23,0.0,0.0,0.02,0.25
150,GBA,2001.0,Puzzle,THQ,1.25,0.39,0.0,0.06,1.71
151,PS2,2004.0,Action,Atari,0.1,0.08,0.0,0.03,0.2
152,PSV,2012.0,Fighting,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.12,0.76
153,Wii,2011.0,Misc,7G//AMES,0.0,0.02,0.0,0.0,0.03
154,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
155,PC,2000.0,Fighting,Capcom,0.07,0.04,0.0,0.02,0.13
156,PS,1999.0,Adventure,Crave Entertainment,0.08,0.06,0.0,0.01,0.15
157,GBA,2001.0,Simulation,Konami Digital Entertainment,0.04,0.02,0.0,0.0,0.06
158,SNES,1995.0,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
159,XB,2004.0,Racing,Jaleco,0.02,0.01,0.0,0.0,0.02
160,DS,2010.0,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15
161,X360,2006.0,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
162,PS,1995.0,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9
163,DS,2008.0,Sports,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08
164,PS2,2000.0,Fighting,Ubisoft,0.0,0.0,0.17,0.0,0.17
165,PS3,2011.0,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15
166,NES,1986.0,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05
167,PS2,2003.0,Adventure,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18
168,DS,2008.0,Sports,Electronic Arts,0.14,0.02,0.0,0.01,0.18
169,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
170,DS,2006.0,Misc,Ubisoft,0.0,0.0,0.08,0.0,0.08
171,PS2,2001.0,Sports,Codemasters,0.36,0.28,0.0,0.09,0.73
172,X360,2013.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
173,PC,2015.0,Fighting,Warner Bros. Interactive Entertainment,0.01,0.04,0.0,0.0,0.05
174,Wii,2010.0,Adventure,SouthPeak Games,0.0,0.02,0.0,0.0,0.02
175,X360,2013.0,Action,Namco Bandai Games,0.12,0.09,0.0,0.02,0.22
176,PS,1996.0,Misc,Konami Digital Entertainment,0.0,0.0,0.16,0.01,0.17
177,SNES,1994.0,Shooter,Taito,0.0,0.0,0.46,0.0,0.46
178,XB,2002.0,Sports,Sega,0.15,0.04,0.0,0.01,0.2
179,X360,2013.0,Shooter,Cave,0.0,0.0,0.01,0.0,0.01
180,DS,2005.0,Sports,Electronic Arts,0.05,0.0,0.0,0.0,0.06
181,Wii,2010.0,Action,Neko Entertainment,0.0,0.01,0.0,0.0,0.02
182,DS,2007.0,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4.0
183,N64,1997.0,Fighting,Midway Games,0.32,0.07,0.0,0.0,0.4
184,GBA,2006.0,Role-Playing,Konami Digital Entertainment,0.2,0.08,0.0,0.01,0.28
185,PSP,2007.0,Action,Activision,0.08,0.15,0.0,0.09,0.32
186,PS3,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23
187,PS,1995.0,Sports,Electronic Arts,0.09,0.06,0.0,0.01,0.16
188,DS,2010.0,Simulation,Nintendo,0.25,0.0,0.0,0.02,0.27
189,PS,2001.0,Misc,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59
191,PS,1998.0,Fighting,THQ,1.1,0.48,0.04,0.07,1.69
192,Wii,2007.0,Simulation,Nintendo,0.22,0.04,0.01,0.03,0.3
193,DS,2010.0,Role-Playing,Nintendo,0.51,0.17,0.58,0.06,1.33
194,DS,2008.0,Simulation,Destineer,0.18,0.0,0.0,0.01,0.19
195,PS,1998.0,Shooter,Success,0.64,0.43,0.0,0.07,1.15
196,Wii,2009.0,Misc,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19
197,PS2,2002.0,Role-Playing,Capcom,0.09,0.07,0.0,0.02,0.19
198,PS3,2008.0,Sports,Electronic Arts,1.56,0.15,0.0,0.18,1.89
199,GC,2003.0,Sports,Electronic Arts,0.31,0.08,0.0,0.01,0.4
200,Wii,2009.0,Adventure,Knowledge Adventure,0.39,0.0,0.0,0.03,0.42
201,XOne,2013.0,Sports,Electronic Arts,0.67,0.05,0.0,0.05,0.77
202,DS,2008.0,Action,LucasArts,0.62,0.11,0.0,0.07,0.79
203,PC,2009.0,Role-Playing,Square Enix,0.0,0.01,0.0,0.0,0.01
204,PS2,2002.0,Adventure,505 Games,0.02,0.02,0.25,0.01,0.29
205,PS2,2007.0,Adventure,505 Games,0.0,0.0,0.05,0.0,0.05
206,PSV,2012.0,Racing,Sony Computer Entertainment,0.14,0.19,0.0,0.06,0.39
207,XB,2003.0,Shooter,THQ,0.04,0.01,0.0,0.0,0.05
208,DS,2009.0,Strategy,Deep Silver,0.02,0.0,0.0,0.0,0.02
209,DS,2009.0,Action,D3Publisher,0.09,0.0,0.0,0.01,0.1
210,DS,2006.0,Platform,THQ,0.45,0.0,0.0,0.04,0.49
211,2600,1981.0,Shooter,Atari,0.68,0.04,0.0,0.01,0.73
212,DS,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
213,GC,2003.0,Misc,Midway Games,0.13,0.03,0.0,0.0,0.17
214,PS2,2004.0,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45
215,PS3,2010.0,Shooter,Activision,0.24,0.19,0.0,0.08,0.51
216,PS3,2015.0,Adventure,Telltale Games,0.02,0.03,0.0,0.01,0.06
217,X360,2012.0,Action,Warner Bros. Interactive Entertainment,0.31,0.13,0.02,0.04,0.49
218,GC,2004.0,Platform,THQ,0.26,0.07,0.0,0.01,0.33
219,PSP,2012.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
220,PS2,2004.0,Fighting,Atari,1.09,0.15,0.65,0.04,1.94
221,PS3,2010.0,Action,Konami Digital Entertainment,0.1,0.04,0.04,0.02,0.2
222,DS,2009.0,Simulation,Ubisoft,0.16,0.01,0.0,0.06,0.23
223,PC,2009.0,Action,Konami Digital Entertainment,0.0,0.02,0.0,0.0,0.02
224,N64,1998.0,Action,GT Interactive,0.2,0.05,0.0,0.0,0.25
225,DS,2008.0,Misc,GSP,0.23,0.74,0.0,0.1,1.06
226,PS3,2013.0,Action,Square Enix,0.07,0.1,0.0,0.04,0.22
227,Wii,2000.0,Sports,Unknown,0.4,0.0,0.0,0.02,0.43
228,DS,2007.0,Platform,Take-Two Interactive,0.97,0.01,0.0,0.08,1.06
229,XB,2005.0,Action,Deep Silver,0.02,0.0,0.0,0.0,0.02
230,PS3,2011.0,Sports,Take-Two Interactive,0.17,0.4,0.0,0.14,0.71
231,PS3,2013.0,Strategy,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
232,PS3,2008.0,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01
233,DS,2008.0,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
234,XB,2002.0,Sports,THQ,0.02,0.0,0.0,0.0,0.02
235,GBA,2002.0,Role-Playing,Natsume,0.18,0.07,0.0,0.0,0.25
236,XB,2003.0,Adventure,Ubisoft,0.08,0.02,0.0,0.0,0.1
237,DS,2007.0,Misc,Capcom,0.0,0.0,0.06,0.0,0.06
238,PS2,2001.0,Platform,Capcom,0.38,0.29,0.0,0.1,0.77
239,PS2,2006.0,Adventure,THQ,0.01,0.01,0.0,0.0,0.01
240,PS,2000.0,Adventure,Infogrames,0.11,0.08,0.0,0.01,0.21
241,DS,2010.0,Misc,Activision,0.58,0.0,0.0,0.04,0.62
242,PS,1996.0,Sports,Midway Games,0.03,0.02,0.0,0.0,0.06
243,PSP,2009.0,Role-Playing,Atlus,0.07,0.0,0.06,0.01,0.14
244,XB,2005.0,Misc,Crave Entertainment,0.03,0.01,0.0,0.0,0.05
245,PSP,2009.0,Action,From Software,0.0,0.0,0.01,0.0,0.01
246,GBA,2004.0,Shooter,Nintendo,0.08,0.03,0.12,0.01,0.25
247,PS3,2010.0,Shooter,Take-Two Interactive,0.85,0.47,0.02,0.22,1.55
248,PS2,2007.0,Action,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
249,DS,2010.0,Puzzle,Avanquest,0.13,0.07,0.0,0.02,0.22
250,Wii,2009.0,Misc,Take-Two Interactive,0.24,0.01,0.0,0.02,0.27
251,SAT,1998.0,Role-Playing,Kadokawa Shoten,0.0,0.0,0.08,0.0,0.08
252,PSV,2013.0,Role-Playing,Sega,0.0,0.0,0.16,0.0,0.16
253,DS,2004.0,Misc,Nintendo,0.0,0.0,0.19,0.0,0.19
254,DS,2006.0,Platform,Activision,0.12,0.0,0.0,0.01,0.13
255,DS,2008.0,Sports,Electronic Arts,0.12,0.31,0.0,0.06,0.49
256,PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.31,0.02,0.33
257,NES,1983.0,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
258,X360,2008.0,Action,Ubisoft,0.18,0.34,0.0,0.07,0.59
259,DS,2007.0,Racing,Activision,0.22,0.0,0.0,0.02,0.23
260,DS,2006.0,Misc,Nintendo,0.91,1.0,1.03,0.17,3.12
261,PSV,2014.0,Fighting,Sega,0.08,0.0,0.07,0.03,0.18
262,PSP,2006.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.05,0.0,0.05
263,XB,2003.0,Racing,Vivendi Games,0.7,0.58,0.0,0.07,1.35
264,PS,1998.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.35,0.02,0.37
265,PC,2010.0,Strategy,Paradox Interactive,0.0,0.02,0.0,0.01,0.03
266,2600,1980.0,Action,Activision,0.32,0.02,0.0,0.0,0.34
267,Wii,2010.0,Simulation,505 Games,0.34,0.12,0.0,0.04,0.5
268,PS3,2007.0,Shooter,Vivendi Games,0.14,0.01,0.0,0.01,0.16
269,PS2,2006.0,Misc,Sony Computer Entertainment,0.12,0.75,0.0,0.23,1.1
270,PS2,2001.0,Sports,Electronic Arts,0.91,0.71,0.0,0.24,1.86
271,PS2,2006.0,Adventure,Princess Soft,0.0,0.0,0.03,0.0,0.03
272,PS3,2009.0,Sports,Take-Two Interactive,0.13,0.01,0.0,0.01,0.15
273,WiiU,2013.0,Platform,Activision,0.4,0.15,0.0,0.06,0.6
274,PS4,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
275,WiiU,2014.0,Action,Namco Bandai Games,0.0,0.04,0.02,0.0,0.07
276,PS,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.59
277,GC,2005.0,Adventure,Global Star,0.14,0.04,0.0,0.0,0.18
278,Wii,2008.0,Platform,Vivendi Games,0.36,0.06,0.0,0.03,0.45
279,GBA,2005.0,Platform,Disney Interactive Studios,0.22,0.08,0.0,0.01,0.3
281,PSV,2011.0,Sports,Sega,0.05,0.3,0.01,0.12,0.47
282,DS,2006.0,Misc,Nintendo,0.0,0.0,1.71,0.0,1.71
283,PC,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16
284,XB,2002.0,Sports,Activision,0.59,0.3,0.0,0.04,0.93
285,PSP,2009.0,Sports,Electronic Arts,0.12,0.07,0.0,0.05,0.24
286,X360,2008.0,Sports,Activision,0.12,0.0,0.0,0.01,0.13
287,GBA,2007.0,Adventure,Activision,0.16,0.06,0.0,0.0,0.23
288,NES,1988.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
289,PS2,2006.0,Adventure,GN Software,0.0,0.0,0.01,0.0,0.01
290,N64,1999.0,Platform,Activision,0.71,0.2,0.0,0.01,0.93
291,PS,1996.0,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
292,PS2,2001.0,Racing,Activision,0.55,0.43,0.0,0.14,1.12
293,PC,2008.0,Simulation,Sega,0.0,1.14,0.0,0.01,1.15
294,PS,1999.0,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83
295,X360,2011.0,Role-Playing,Square Enix,0.21,0.12,0.01,0.03,0.37
296,GC,2002.0,Sports,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.06
297,3DS,2012.0,Misc,Activision,0.13,0.13,0.0,0.03,0.28
298,Wii,2008.0,Action,SouthPeak Games,0.17,0.01,0.0,0.01,0.19
299,PS,2000.0,Adventure,Acclaim Entertainment,0.36,0.24,0.0,0.04,0.65
300,PSP,2004.0,Puzzle,Ubisoft,0.52,0.35,0.0,0.23,1.11
301,Wii,2007.0,Puzzle,Popcorn Arcade,0.05,0.0,0.0,0.0,0.05
302,PS3,2000.0,Racing,Atari,0.16,0.35,0.01,0.12,0.64
303,PC,2009.0,Shooter,Electronic Arts,0.0,0.07,0.0,0.02,0.09
304,PC,2008.0,Racing,Atari,0.0,0.02,0.0,0.01,0.03
305,GBA,2004.0,Misc,Majesco Entertainment,0.44,0.16,0.0,0.01,0.61
306,PSP,2007.0,Shooter,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
307,PS,1999.0,Fighting,Virgin Interactive,0.01,0.01,0.0,0.0,0.02
308,GBA,2004.0,Sports,Nintendo,0.16,0.06,0.0,0.0,0.22
309,PS2,2002.0,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46
310,PS2,2003.0,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6
311,GC,2002.0,Platform,THQ,0.07,0.02,0.0,0.0,0.09
312,PSP,2008.0,Misc,Irem Software Engineering,0.0,0.0,0.02,0.0,0.02
313,Wii,2008.0,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19
314,XB,2003.0,Platform,Namco Bandai Games,0.05,0.02,0.0,0.0,0.07
315,DS,2008.0,Strategy,SouthPeak Games,0.12,0.0,0.0,0.01,0.14
316,PS2,2008.0,Adventure,Alchemist,0.0,0.0,0.01,0.0,0.01
317,PSP,2014.0,Misc,Marvelous Interactive,0.0,0.0,0.01,0.0,0.01
318,PC,2009.0,Shooter,Namco Bandai Games,0.0,0.05,0.0,0.01,0.06
319,Wii,2013.0,Misc,Ubisoft,1.98,1.47,0.0,0.32,3.76
320,GBA,2003.0,Role-Playing,Capcom,0.31,0.04,0.96,0.01,1.32
321,DS,2008.0,Puzzle,Midway Games,0.1,0.0,0.0,0.01,0.11
322,X360,2008.0,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
323,XB,2005.0,Strategy,Deep Silver,0.11,0.03,0.0,0.01,0.15
324,DS,2006.0,Misc,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.02
325,PS2,2002.0,Simulation,Activision,0.24,0.19,0.0,0.06,0.5
326,DS,2008.0,Action,Sega,0.35,0.12,0.0,0.05,0.52
327,XB,2000.0,Shooter,Activision,0.23,0.07,0.0,0.01,0.31
328,PS,1999.0,Strategy,Midas Interactive Entertainment,0.02,0.01,0.0,0.0,0.04
